head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
-0.0144445672631263,-0.6098002195358276,-0.3382247686386108,0.1375883519649505,-0.5002933144569397,-0.1778186857700348,0.2056811898946762,-0.7177783250808716,-0.248873084783554,-0.1378184854984283,-0.4983855783939361,-0.1988102048635482,-0.2210277616977691,-0.6967326998710632,-0.2907777726650238,0.2192724198102951,-0.948963701725006,-0.3036980926990509,-0.2032916694879531,-0.9359331727027892,-0.3701991736888885,0.1085175275802612,-0.000267563475063,0.008467448875308,-0.1089038103818893,-0.0003069801896344,-0.0073809116147458,0.0999019220471382,0.4102449715137481,0.0311403758823871,-0.1226768866181373,0.3929029703140259,0.0032963186968117,0.1353655904531479,0.7465981841087341,0.1744751334190368,-0.1417492777109146,0.7364039421081543,0.1439711451530456
-0.0145367365330457,-0.6100285053253174,-0.3362326920032501,0.136712446808815,-0.5014347434043884,-0.1736792922019958,0.2057095915079116,-0.7194337844848633,-0.2393109202384948,-0.1388394236564636,-0.4983404576778412,-0.1984452903270721,-0.2216948866844177,-0.6977840065956116,-0.2872684001922607,0.2194419205188751,-0.950943887233734,-0.2932604849338531,-0.2026914060115814,-0.93806791305542,-0.352110207080841,0.1084846183657646,-0.0002331118739675,0.0091419080272316,-0.1088690161705017,-0.000341530831065,-0.0080516291782259,0.0989820286631584,0.4108392000198364,0.0335745625197887,-0.1231662854552269,0.3918373584747314,0.0034252936020493,0.1349494159221649,0.746239960193634,0.1799444556236267,-0.1435078382492065,0.7288398742675781,0.1479246616363525
-0.0115744229406118,-0.6107335686683655,-0.3333116769790649,0.1408118903636932,-0.5014758110046387,-0.17351596057415,0.2063114941120147,-0.7208095192909241,-0.2408389896154403,-0.1324062645435333,-0.5000013709068298,-0.1953058242797851,-0.2084764540195465,-0.7027177810668945,-0.2819819748401642,0.2163762152194976,-0.9518280625343324,-0.2951559722423553,-0.1923962533473968,-0.9402205348014832,-0.3487893342971802,0.1084333509206771,-0.0001500089711043,0.0082943812012672,-0.1088179051876068,-0.0004225625307299,-0.0072005083784461,0.1014985740184784,0.4096224904060364,0.0306603275239467,-0.1204992830753326,0.39204141497612,0.0058358199894428,0.1391726434230804,0.7462930679321289,0.1698802262544632,-0.138972207903862,0.7328940629959106,0.1478770226240158
-0.0205253567546606,-0.6226317882537842,-0.2974701225757599,0.1377827525138855,-0.5083443522453308,-0.1492046266794204,0.2064499258995056,-0.7302228212356567,-0.2283584177494049,-0.1418044716119766,-0.5064089298248291,-0.1515359431505203,-0.2223777770996093,-0.7121551632881165,-0.2186990678310394,0.2118691802024841,-0.9613874554634094,-0.2826423645019531,-0.2023092657327652,-0.9548248648643494,-0.2700069844722748,0.1085002496838569,2.006939575949218e-05,0.0050529381260275,-0.1088612675666809,-0.0005884895799681,-0.0038981300313025,0.1013597175478935,0.4086427986621856,0.0226092301309108,-0.1363252699375152,0.3847287595272064,-0.0028967794496566,0.1321123987436294,0.7377402782440186,0.1739532649517059,-0.146091803908348,0.7169674634933472,0.1479410231113433
-0.0205023232847452,-0.6253539323806763,-0.2822349071502685,0.1410923153162002,-0.5105293989181519,-0.13895845413208,0.2125193327665329,-0.7321992516517639,-0.2186196446418762,-0.1407172679901123,-0.5087804198265076,-0.1367936879396438,-0.2220384031534195,-0.7161783576011658,-0.2007071822881698,0.2127142697572708,-0.9633135199546814,-0.2703078389167785,-0.2014435976743698,-0.9622085094451904,-0.2499485611915588,0.1086082831025123,1.8668006305233572e-05,0.0044113206677138,-0.108966626226902,-0.0005844696424901,-0.0032560068648308,0.1122038662433624,0.4014462828636169,0.0153160560876131,-0.1411590725183487,0.3808669745922088,-0.0030263508670032,0.1355402618646621,0.7283457517623901,0.1703595370054245,-0.1460463106632232,0.711635947227478,0.1476660966873169
-0.0204866025596857,-0.6266565322875977,-0.2831691801548004,0.1412951350212097,-0.5105080008506775,-0.1399422585964203,0.2129192799329757,-0.7320292592048645,-0.2189520597457885,-0.1406474113464355,-0.5087817907333374,-0.1378627270460128,-0.2227726578712463,-0.7151490449905396,-0.2036928087472915,0.2127492427825927,-0.963271975517273,-0.2710630595684051,-0.2014790773391723,-0.9617496132850648,-0.2543860077857971,0.1088285073637962,2.920208498835564e-05,0.0040696444921195,-0.1091930568218231,-0.0005916910013183,-0.0029092198237776,0.1151439771056175,0.3983484208583832,0.0069996276870369,-0.1525845676660537,0.3748727738857269,-0.0145016331225633,0.1356158107519149,0.7179630398750305,0.1706411093473434,-0.1489624977111816,0.7041395902633667,0.1434344053268432
-0.0146215334534645,-0.626518189907074,-0.282901257276535,0.1461268812417984,-0.5113790035247803,-0.1337951719760894,0.224990889430046,-0.7350860238075256,-0.2063914686441421,-0.1392287462949752,-0.5088704228401184,-0.1397518217563629,-0.223143070936203,-0.7150261998176575,-0.2063480913639068,0.2220619320869445,-0.9681218862533568,-0.2546671330928802,-0.1995626091957092,-0.9613983631134032,-0.2556615173816681,0.1090629547834396,4.320562220527791e-05,0.0046359277330338,-0.1094424128532409,-0.000601781590376,-0.0034854165278375,0.1243481040000915,0.3950085639953613,0.0053212018683552,-0.1575478762388229,0.3675533533096313,-0.0272928178310394,0.1365792453289032,0.7132293581962585,0.1708458960056305,-0.1496669650077819,0.6948348879814148,0.1354912519454956
-0.0150005184113979,-0.6296786069869995,-0.2796529829502105,0.1456840485334396,-0.5148953795433044,-0.1286447048187255,0.2244600802659988,-0.7372449636459351,-0.1964653730392456,-0.1410183608531952,-0.5098525285720825,-0.1387144476175308,-0.226507231593132,-0.7149187326431274,-0.2048045545816421,0.2222578674554824,-0.9727039933204652,-0.2428291290998459,-0.2002855986356735,-0.9614051580429076,-0.253612071275711,0.1092419400811195,1.2939076441398356e-05,0.0048007676377892,-0.1096239611506462,-0.0005683575873263,-0.0036495889071375,0.1254508048295974,0.3924601972103119,0.005569280590862,-0.1619039475917816,0.3651100397109985,-0.0270707905292511,0.1383387297391891,0.7022542357444763,0.1774049550294876,-0.1545853912830352,0.6892711520195007,0.1360979378223419
-0.0144933527335524,-0.6291418075561523,-0.2802241146564483,0.1448138058185577,-0.514495313167572,-0.1290799528360366,0.2239326536655426,-0.7394297122955322,-0.1969092488288879,-0.1415410786867141,-0.5083299875259399,-0.1443262696266174,-0.2274008691310882,-0.710666835308075,-0.2150302529335022,0.226264476776123,-0.9731355309486388,-0.2458317726850509,-0.2046410143375396,-0.958696186542511,-0.2573597729206085,0.1093605309724807,0.0001590808533364,0.0052948431111872,-0.1097430735826492,-0.0006878324784338,-0.0041513536125421,0.1314059048891067,0.3868133127689361,-0.0383168943226337,-0.1696587353944778,0.3488612473011017,-0.0774107053875923,0.1407209634780883,0.7026346325874329,0.126073807477951,-0.1551180034875869,0.674277126789093,0.0902256742119789
-0.0168066397309303,-0.6244712471961975,-0.2925479412078857,0.1442295759916305,-0.5106402039527893,-0.1347437053918838,0.2298585325479507,-0.7395409941673279,-0.2015650868415832,-0.1418161541223526,-0.5056781768798828,-0.1551551967859268,-0.2292098999023437,-0.7099915742874146,-0.224170446395874,0.2352209091186523,-0.9756529927253724,-0.2499074041843414,-0.2104880958795547,-0.9588944911956788,-0.2651467621326446,0.1096154004335403,0.0003135108272545,0.0053493971936404,-0.1100159287452697,-0.0008165898034349,-0.004213121253997,0.1407683938741684,0.3778099715709686,-0.0807122737169265,-0.1864212602376938,0.3385374546051025,-0.1034859120845794,0.1413045525550842,0.6976038217544556,0.0892575606703758,-0.1598361879587173,0.6653643250465393,0.0638147220015525
