FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,-0.036719825118780136,-0.6193801164627075,-0.263148695230484,0.09454124420881271,-0.506932258605957,-0.11231917142868042,0.1248701885342598,-0.7522030472755432,-0.1943541169166565,-0.17424574494361877,-0.5039634108543396,-0.13520872592926025,-0.251173734664917,-0.7355150580406189,-0.22140337526798248,0.11693888902664185,-0.9755285382270813,-0.2618362605571747,-0.2181204855442047,-0.9780833125114441,-0.2509576976299286,0.10697046667337418,-0.0066594695672392845,0.004390595015138388,-0.10722874104976654,0.00606738543137908,-0.003537009935826063,0.12633277475833893,0.415955513715744,0.007294172886759043,-0.13701486587524414,0.4115088880062103,-0.009972887113690376,0.18967114388942719,0.7652575373649597,0.09519630670547485,-0.14379489421844482,0.7898431420326233,0.07084745168685913
1,-0.03392990678548813,-0.6186226606369019,-0.2772753834724426,0.1026936024427414,-0.5072380900382996,-0.13771571218967438,0.13303719460964203,-0.7529588937759399,-0.22118259966373444,-0.1698918342590332,-0.5013841986656189,-0.15043900907039642,-0.24572846293449402,-0.7195827960968018,-0.24203424155712128,0.12428196519613266,-0.9902673363685608,-0.2680629789829254,-0.21686455607414246,-0.9632499814033508,-0.2849319577217102,0.10714156925678253,-0.006391152739524841,0.00396488793194294,-0.10742763429880142,0.005818873178213835,-0.003080171998590231,0.12388937920331955,0.4178568720817566,0.004749700427055359,-0.13602353632450104,0.4077209532260895,-0.0077406554482877254,0.18525369465351105,0.7637856602668762,0.12554320693016052,-0.14276140928268433,0.7685226798057556,0.10450857877731323
2,-0.03398182988166809,-0.6130462288856506,-0.3193058669567108,0.10574217140674591,-0.5079444646835327,-0.17583270370960236,0.14837615191936493,-0.7552695274353027,-0.26471221446990967,-0.16927269101142883,-0.4946019649505615,-0.19942474365234375,-0.244783416390419,-0.7033378481864929,-0.305060476064682,0.1389450579881668,-0.9946728944778442,-0.31706446409225464,-0.2198004424571991,-0.9393249750137329,-0.3634173274040222,0.10714281350374222,-0.0062115807086229324,0.005277796182781458,-0.10744034498929977,0.0056601595133543015,-0.0043090651743113995,0.12084323167800903,0.4175429940223694,0.005761470180004835,-0.12860523164272308,0.4007633626461029,-0.008308600634336472,0.1839914470911026,0.7596462965011597,0.14077353477478027,-0.13870954513549805,0.7603463530540466,0.10649881511926651
3,-0.03309802711009979,-0.6116327047348022,-0.3372253477573395,0.10833919793367386,-0.508596658706665,-0.18740226328372955,0.1541433483362198,-0.7610087394714355,-0.2746644914150238,-0.16727712750434875,-0.49253496527671814,-0.21832957863807678,-0.2448386549949646,-0.7030680179595947,-0.3224254250526428,0.142113596200943,-1.0009392499923706,-0.32650765776634216,-0.22350551187992096,-0.9374426603317261,-0.376791387796402,0.10712175071239471,-0.006157470401376486,0.007192404009401798,-0.10743621736764908,0.0056131272576749325,-0.006133721675723791,0.11979668587446213,0.4165979027748108,0.011392497457563877,-0.12429136037826538,0.3969903588294983,-0.00933600403368473,0.17920711636543274,0.7586963176727295,0.14710524678230286,-0.13702480494976044,0.7575833797454834,0.10582411289215088
4,-0.03312250226736069,-0.6118525862693787,-0.33333492279052734,0.10886167734861374,-0.5101988911628723,-0.18546772003173828,0.15505212545394897,-0.7644175291061401,-0.2742697596549988,-0.16717831790447235,-0.49238321185112,-0.2155265510082245,-0.24561291933059692,-0.7037956118583679,-0.31559985876083374,0.1437610238790512,-1.0049023628234863,-0.3270114064216614,-0.2266753911972046,-0.9388236999511719,-0.36449670791625977,0.1070532351732254,-0.006067355163395405,0.008172920905053616,-0.10739105939865112,0.00553126260638237,-0.007081857416778803,0.11959022283554077,0.41534286737442017,0.01594427227973938,-0.12459255754947662,0.3950096666812897,-0.009376090951263905,0.178391695022583,0.7565069794654846,0.15145795047283173,-0.14319202303886414,0.7566565871238708,0.10664530098438263
5,-0.03312356397509575,-0.6116750240325928,-0.3339950144290924,0.10930510610342026,-0.510353147983551,-0.18556612730026245,0.1566452533006668,-0.7642812132835388,-0.2755403518676758,-0.16718952357769012,-0.4919275641441345,-0.2144578993320465,-0.24637573957443237,-0.701808750629425,-0.3145875632762909,0.14519672095775604,-1.0037710666656494,-0.32982200384140015,-0.22833646833896637,-0.9360477328300476,-0.3649006485939026,0.10705553740262985,-0.006049151532351971,0.008687199093401432,-0.10740351676940918,0.005515301134437323,-0.007569190580397844,0.11888832598924637,0.4146353006362915,0.01801176741719246,-0.1234460398554802,0.39326897263526917,-0.01031626295298338,0.17709185183048248,0.7554213404655457,0.15119026601314545,-0.14303350448608398,0.7547810077667236,0.10583857446908951
6,-0.03377050533890724,-0.6113298535346985,-0.34004777669906616,0.10871312022209167,-0.5110989809036255,-0.18856018781661987,0.15615956485271454,-0.7674739956855774,-0.27728182077407837,-0.1671048104763031,-0.49127188324928284,-0.2243460714817047,-0.24727968871593475,-0.701851487159729,-0.3225361406803131,0.14466504752635956,-1.0054166316986084,-0.33266162872314453,-0.23116417229175568,-0.9342525601387024,-0.3706173002719879,0.10685010999441147,-0.0060307737439870834,0.010129869915544987,-0.10723013430833817,0.005498789716511965,-0.008977335877716541,0.11813905090093613,0.41436126828193665,0.023898780345916748,-0.12232637405395508,0.39248740673065186,-0.014900128357112408,0.17665505409240723,0.7546712160110474,0.15826235711574554,-0.14632780849933624,0.754730224609375,0.10229925066232681
7,-0.03369024023413658,-0.6118158102035522,-0.3372133672237396,0.1096239984035492,-0.5113598108291626,-0.18649545311927795,0.1577558070421219,-0.7673441171646118,-0.2749496400356293,-0.16666699945926666,-0.491408109664917,-0.2202838957309723,-0.24727801978588104,-0.7020840048789978,-0.31829506158828735,0.14541181921958923,-1.0049808025360107,-0.33047327399253845,-0.23108376562595367,-0.9350948333740234,-0.3660058379173279,0.10684813559055328,-0.006014483980834484,0.010204432532191277,-0.10723608732223511,0.00548457121476531,-0.00904716644436121,0.11807680130004883,0.414004385471344,0.023555001243948936,-0.12090601027011871,0.3923428952693939,-0.014821328222751617,0.17736011743545532,0.7541332840919495,0.15624099969863892,-0.14370083808898926,0.7550697922706604,0.10284018516540527
8,-0.03369337320327759,-0.6135683655738831,-0.336554616689682,0.11047057807445526,-0.5125424861907959,-0.185464009642601,0.15783442556858063,-0.7673541903495789,-0.2746971845626831,-0.16651126742362976,-0.4923119843006134,-0.21724089980125427,-0.24815405905246735,-0.7025024890899658,-0.3092535734176636,0.1453009843826294,-1.005242109298706,-0.3295224905014038,-0.23213782906532288,-0.935828447341919,-0.3567447364330292,0.10682576149702072,-0.005955640226602554,0.010100537911057472,-0.10721942037343979,0.005430448800325394,-0.008942175656557083,0.1180531308054924,0.41365164518356323,0.02336122840642929,-0.12096937000751495,0.3920595049858093,-0.012689550407230854,0.17709201574325562,0.753907322883606,0.15512387454509735,-0.14473018050193787,0.7545713782310486,0.10712810605764389
9,-0.03277140110731125,-0.6130556464195251,-0.33576637506484985,0.1111585721373558,-0.5123355984687805,-0.18649205565452576,0.1579253077507019,-0.7630182504653931,-0.27767136693000793,-0.16645075380802155,-0.49193912744522095,-0.21594034135341644,-0.2481999546289444,-0.6965185403823853,-0.31272292137145996,0.14612606167793274,-1.0014855861663818,-0.33346685767173767,-0.2325560599565506,-0.9281505942344666,-0.36966651678085327,0.10684981942176819,-0.005898988340049982,0.010147718712687492,-0.10724987089633942,0.00537856062874198,-0.008986572735011578,0.11783900856971741,0.4138033092021942,0.02313924767076969,-0.12068485468626022,0.3914332389831543,-0.013307216577231884,0.17711910605430603,0.7540407776832581,0.15480627119541168,-0.1443955898284912,0.753497838973999,0.10695818066596985
