FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,0.0021000560373067856,-0.6136232614517212,-0.31771501898765564,0.13445784151554108,-0.49139732122421265,-0.1641835719347,0.20402537286281586,-0.7182068228721619,-0.26568225026130676,-0.1346457451581955,-0.5009514093399048,-0.18485981225967407,-0.20696023106575012,-0.7155565619468689,-0.30885422229766846,0.24472670257091522,-0.9482767581939697,-0.35859742760658264,-0.21789531409740448,-0.9534056782722473,-0.404401034116745,0.10703635215759277,2.314220182597637e-06,0.010469814762473106,-0.10724125057458878,-0.0005472919438034296,-0.009562083519995213,0.10477430373430252,0.4258003532886505,0.010499910451471806,-0.12183360755443573,0.4046010673046112,-0.016260985285043716,0.16097378730773926,0.7749840617179871,0.111847423017025,-0.1269267052412033,0.7767252326011658,0.08977068215608597
1,-0.001592314220033586,-0.6102775931358337,-0.3279466927051544,0.13441668450832367,-0.49115148186683655,-0.17048020660877228,0.20395125448703766,-0.7098737955093384,-0.26594939827919006,-0.13475888967514038,-0.4972672164440155,-0.19586016237735748,-0.20906807482242584,-0.6895463466644287,-0.3301514685153961,0.24662725627422333,-0.9403302669525146,-0.35650891065597534,-0.222002774477005,-0.9207201600074768,-0.4477206766605377,0.10701684653759003,-1.0466302455824916e-06,0.010998482815921307,-0.10722803324460983,-0.000542285037226975,-0.010064220987260342,0.10556568205356598,0.4246228337287903,0.01054881326854229,-0.12193690985441208,0.4036200940608978,-0.016804859042167664,0.1679011732339859,0.7727389931678772,0.11545954644680023,-0.12860414385795593,0.7737513184547424,0.09057234227657318
2,-0.0051711685955524445,-0.6093747019767761,-0.33990558981895447,0.13385526835918427,-0.4908960461616516,-0.18156158924102783,0.20402778685092926,-0.7095445990562439,-0.26696619391441345,-0.135548397898674,-0.4939393997192383,-0.20507946610450745,-0.21460950374603271,-0.6780315637588501,-0.3334895372390747,0.2505779564380646,-0.9415907263755798,-0.34915053844451904,-0.22820822894573212,-0.9072520136833191,-0.4500983953475952,0.10700578987598419,-0.00013336754636839032,0.011384506709873676,-0.10722371190786362,-0.0004073746385984123,-0.010412671603262424,0.10804828256368637,0.42295268177986145,0.010669941082596779,-0.12189725041389465,0.40295127034187317,-0.016647106036543846,0.17588771879673004,0.7680370807647705,0.12868712842464447,-0.12666718661785126,0.7714275121688843,0.09967193752527237
3,-0.007347875274717808,-0.6088772416114807,-0.338078111410141,0.13363607227802277,-0.49110281467437744,-0.18051639199256897,0.2040427327156067,-0.7093290090560913,-0.26428133249282837,-0.13612402975559235,-0.4929022192955017,-0.2046448290348053,-0.2182275503873825,-0.674676775932312,-0.3312853276729584,0.25308850407600403,-0.9417881369590759,-0.33945852518081665,-0.23203608393669128,-0.9023796916007996,-0.44399964809417725,0.10701297223567963,-0.0001690623175818473,0.011469959281384945,-0.10723681002855301,-0.00037034458364360034,-0.010483035817742348,0.10849709063768387,0.4221794903278351,0.0098352562636137,-0.12241791933774948,0.40155747532844543,-0.017212621867656708,0.17744626104831696,0.7665119767189026,0.13184741139411926,-0.13036885857582092,0.7672975063323975,0.10269121080636978
4,-0.008384928107261658,-0.6062430739402771,-0.34173479676246643,0.13306888937950134,-0.49090340733528137,-0.18314294517040253,0.20401020348072052,-0.7090116739273071,-0.26747649908065796,-0.13711011409759521,-0.4906839430332184,-0.20566369593143463,-0.22310790419578552,-0.6680269837379456,-0.33546018600463867,0.2557096779346466,-0.9421477913856506,-0.34206050634384155,-0.23959645628929138,-0.8948302268981934,-0.4575061798095703,0.10699435323476791,-0.00018418394029140472,0.011652748100459576,-0.10722386837005615,-0.00035387385287322104,-0.01065237820148468,0.10875461250543594,0.4217450022697449,0.008616057224571705,-0.12242250144481659,0.4013538956642151,-0.017803335562348366,0.17738470435142517,0.7664733529090881,0.12898798286914825,-0.12933246791362762,0.767443835735321,0.10025288909673691
5,-0.008188461884856224,-0.6033298373222351,-0.3429415225982666,0.13302627205848694,-0.4893553853034973,-0.18351168930530548,0.20258842408657074,-0.7024191617965698,-0.27196043729782104,-0.13712738454341888,-0.4891849160194397,-0.20777851343154907,-0.2227599322795868,-0.668219804763794,-0.3433362543582916,0.2555689811706543,-0.9337071776390076,-0.3546693027019501,-0.23883555829524994,-0.8961797952651978,-0.46570074558258057,0.10697735100984573,-0.000186274410225451,0.011945816688239574,-0.10721173137426376,-0.00034997457987628877,-0.010938397608697414,0.10874833166599274,0.4216596782207489,0.00875900685787201,-0.12338536232709885,0.4013555347919464,-0.01807136833667755,0.17771027982234955,0.76632159948349,0.12656055390834808,-0.13231654465198517,0.7676576972007751,0.0972118154168129
6,-0.008119097910821438,-0.604023814201355,-0.34168386459350586,0.1330026090145111,-0.4901638627052307,-0.17942608892917633,0.20332466065883636,-0.7036942839622498,-0.2572629749774933,-0.13720837235450745,-0.48924756050109863,-0.20748259127140045,-0.2234775722026825,-0.6698476672172546,-0.34247830510139465,0.25631004571914673,-0.9341314435005188,-0.33363696932792664,-0.2394716739654541,-0.8977142572402954,-0.46347010135650635,0.10696164518594742,-0.00019577985221985728,0.012529700063169003,-0.10720133781433105,-0.0003397670516278595,-0.011509143747389317,0.10886576771736145,0.4216765761375427,0.009985703974962234,-0.1234227791428566,0.40134528279304504,-0.018746811896562576,0.1802544891834259,0.766944169998169,0.12637926638126373,-0.1332632154226303,0.7684475183486938,0.09481919556856155
7,-0.008060459047555923,-0.6040888428688049,-0.33994901180267334,0.13318313658237457,-0.4901082515716553,-0.1794043630361557,0.203433096408844,-0.7022966146469116,-0.26009488105773926,-0.1372620165348053,-0.4896605908870697,-0.2018793225288391,-0.2245803028345108,-0.6706437468528748,-0.33366960287094116,0.2575966417789459,-0.9338270425796509,-0.33682700991630554,-0.24088704586029053,-0.8982884883880615,-0.457265704870224,0.10695702582597733,-0.000210633035749197,0.012253005988895893,-0.10719925910234451,-0.0003232235321775079,-0.0112290158867836,0.10892121493816376,0.42144814133644104,0.008275347761809826,-0.12349627166986465,0.4006050229072571,-0.018549736589193344,0.17886589467525482,0.7667257785797119,0.12563399970531464,-0.13232843577861786,0.7666309475898743,0.09667415916919708
8,-0.009229307062923908,-0.6027184128761292,-0.3407309651374817,0.13299256563186646,-0.4900738298892975,-0.18202462792396545,0.2035573571920395,-0.7024840712547302,-0.2663794755935669,-0.1378980278968811,-0.48958224058151245,-0.20214152336120605,-0.22591839730739594,-0.6692380309104919,-0.33346983790397644,0.2584635615348816,-0.9348060488700867,-0.34191593527793884,-0.24232664704322815,-0.8962057828903198,-0.4562698304653168,0.10695450752973557,-0.0002507976023480296,0.012230020016431808,-0.1072000190615654,-0.0002809697762131691,-0.011202273890376091,0.10895298421382904,0.42126867175102234,0.00755984615534544,-0.12357452511787415,0.4005948007106781,-0.01858343370258808,0.17873810231685638,0.7664241790771484,0.12533193826675415,-0.13150334358215332,0.7667126059532166,0.09670209139585495
9,-0.00768785597756505,-0.6017347574234009,-0.34245336055755615,0.1330461949110031,-0.48928529024124146,-0.18262870609760284,0.20249581336975098,-0.7013782262802124,-0.27137264609336853,-0.13761387765407562,-0.48854154348373413,-0.20554330945014954,-0.22454795241355896,-0.6687977910041809,-0.3411142826080322,0.25673019886016846,-0.9327153563499451,-0.35590660572052,-0.24074625968933105,-0.8960723876953125,-0.46362242102622986,0.10694505274295807,-0.00024747353745624423,0.012473911978304386,-0.10719365626573563,-0.00028294793446548283,-0.011443857103586197,0.10892021656036377,0.42134401202201843,0.008284207433462143,-0.12384385615587234,0.40078186988830566,-0.018670987337827682,0.17933517694473267,0.7663513422012329,0.12501978874206543,-0.13256746530532837,0.7674264311790466,0.09515007585287094
