FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,0.016236817464232445,-0.633765459060669,-0.25947287678718567,0.152746319770813,-0.46903765201568604,-0.033233221620321274,0.161733478307724,-0.23582936823368073,0.026371750980615616,-0.1625051349401474,-0.46777451038360596,-0.09456460922956467,-0.1998502016067505,-0.2165430188179016,-0.043386850506067276,0.19215376675128937,-0.013325382024049759,-0.05877115577459335,-0.21172817051410675,0.007808972150087357,-0.12319621443748474,0.11326698958873749,0.004759765230119228,0.016898369416594505,-0.11341232806444168,-0.0054872166365385056,-0.01537645049393177,0.11692290753126144,0.4272788465023041,-0.008530562743544579,-0.12204908579587936,0.4024556279182434,-0.020084278658032417,0.13946184515953064,0.8038578033447266,0.07553160935640335,-0.09873735904693604,0.781210720539093,0.07806307822465897
1,0.016402211040258408,-0.6198914647102356,-0.30916017293930054,0.15153978765010834,-0.4569211006164551,-0.07692255824804306,0.1620379388332367,-0.22335772216320038,-0.011809286661446095,-0.16199077665805817,-0.45190542936325073,-0.13108976185321808,-0.1965218186378479,-0.19664059579372406,-0.07447587698698044,0.19824601709842682,-0.0033938579726964235,-0.0885855108499527,-0.2111383080482483,0.021098271012306213,-0.15675391256809235,0.11329517513513565,0.004376285709440708,0.016207797452807426,-0.11345069110393524,-0.0051274909637868404,-0.01466225367039442,0.11650560796260834,0.4275038540363312,-0.010232341475784779,-0.12200649827718735,0.4033007323741913,-0.019922444596886635,0.13960479199886322,0.8038544058799744,0.07313821464776993,-0.09767817705869675,0.7812625765800476,0.07792819291353226
2,0.015876172110438347,-0.6107143759727478,-0.3357771635055542,0.1503179371356964,-0.4422374963760376,-0.11356756836175919,0.16159957647323608,-0.20425677299499512,-0.0652480199933052,-0.15906673669815063,-0.434577077627182,-0.14761506021022797,-0.1893538534641266,-0.17783503234386444,-0.09303181618452072,0.2006305307149887,0.01474709901958704,-0.14659234881401062,-0.20604123175144196,0.030345845967531204,-0.16921654343605042,0.11325529217720032,0.004050735849887133,0.014251535758376122,-0.11341807246208191,-0.004802529234439135,-0.012660856358706951,0.11439250409603119,0.42778342962265015,-0.014583124779164791,-0.12201423197984695,0.403381884098053,-0.01726909913122654,0.13853952288627625,0.8039913773536682,0.06895533204078674,-0.09715180844068527,0.7807483077049255,0.07825081050395966
3,0.014546401798725128,-0.5989678502082825,-0.3436167538166046,0.14938193559646606,-0.4338812828063965,-0.12177301198244095,0.16053302586078644,-0.1941412389278412,-0.07645530998706818,-0.1567847579717636,-0.4236639440059662,-0.1550246626138687,-0.18724432587623596,-0.16896741092205048,-0.10274454206228256,0.2019798308610916,0.02540615014731884,-0.15918101370334625,-0.20530636608600616,0.037861090153455734,-0.1779017150402069,0.11308079212903976,0.003863896708935499,0.013983872719109058,-0.11325596272945404,-0.004612577613443136,-0.012374212965369225,0.11313985288143158,0.4279477894306183,-0.017443234100937843,-0.12169680744409561,0.403995543718338,-0.017331095412373543,0.1374215930700302,0.80628901720047,0.06066650152206421,-0.09599312394857407,0.7831640243530273,0.07292606681585312
4,0.013195146806538105,-0.5992087125778198,-0.3353375196456909,0.14571473002433777,-0.4317585527896881,-0.11461643129587173,0.15603622794151306,-0.19222570955753326,-0.0689251720905304,-0.15671032667160034,-0.4236902892589569,-0.15079712867736816,-0.1866062730550766,-0.16955959796905518,-0.09950516372919083,0.20183111727237701,0.027485106140375137,-0.14985057711601257,-0.20375341176986694,0.03887918218970299,-0.17407628893852234,0.11284901946783066,0.003768250811845064,0.013702739961445332,-0.11302794516086578,-0.004514971282333136,-0.012079557403922081,0.1113506406545639,0.42796406149864197,-0.018028128892183304,-0.1214500442147255,0.4040676951408386,-0.01749429479241371,0.13730104267597198,0.8063212037086487,0.0585552416741848,-0.09599760919809341,0.7835308313369751,0.06961660087108612
5,0.014024789445102215,-0.6008209586143494,-0.3348816931247711,0.14575567841529846,-0.4335445761680603,-0.11226734519004822,0.15610097348690033,-0.1945904940366745,-0.0629793182015419,-0.15677382051944733,-0.4261631667613983,-0.1513950526714325,-0.18665392696857452,-0.17200328409671783,-0.09822128713130951,0.20329535007476807,0.025179272517561913,-0.14497315883636475,-0.2036508023738861,0.03767162933945656,-0.1735043227672577,0.11286742240190506,0.003596522379666567,0.013430790975689888,-0.11305668205022812,-0.004350417293608189,-0.011812740005552769,0.11124542355537415,0.4280039966106415,-0.017919357866048813,-0.1212695837020874,0.40423643589019775,-0.0174066424369812,0.13734574615955353,0.8057237267494202,0.06205533444881439,-0.09427360445261002,0.7834615111351013,0.07104688137769699
6,0.014141610823571682,-0.6017695665359497,-0.3348609209060669,0.14588488638401031,-0.43332183361053467,-0.11267776787281036,0.15534964203834534,-0.19432508945465088,-0.06593170762062073,-0.1559954285621643,-0.4264828562736511,-0.1510149985551834,-0.18639235198497772,-0.1722322404384613,-0.09933581948280334,0.20079830288887024,0.024402134120464325,-0.15008880198001862,-0.20244140923023224,0.03765217214822769,-0.17618697881698608,0.1128121018409729,0.003522618440911174,0.013393240049481392,-0.11300294101238251,-0.00427861325442791,-0.011770864017307758,0.110794797539711,0.4280380606651306,-0.017716271802783012,-0.12124308198690414,0.40407100319862366,-0.017096050083637238,0.1370532363653183,0.8058041334152222,0.06178418919444084,-0.09423446655273438,0.7829259037971497,0.0711374282836914
7,0.013300160877406597,-0.6022066473960876,-0.3336893320083618,0.1451173722743988,-0.4328344166278839,-0.11478352546691895,0.15410807728767395,-0.19335788488388062,-0.07279811799526215,-0.15593217313289642,-0.42563846707344055,-0.1500040739774704,-0.1864457130432129,-0.17136667668819427,-0.09865263104438782,0.20071296393871307,0.024753998965024948,-0.15669620037078857,-0.20243924856185913,0.03739394247531891,-0.17536334693431854,0.11273957043886185,0.00343157141469419,0.012615741230547428,-0.11293312162160873,-0.004184424877166748,-0.010976647958159447,0.10969912260770798,0.42809057235717773,-0.018374407663941383,-0.1216743066906929,0.4045335352420807,-0.016124088317155838,0.1366211622953415,0.8058831691741943,0.06036320701241493,-0.09431881457567215,0.7839478254318237,0.07117516547441483
8,0.014224924147129059,-0.6025215983390808,-0.33916428685188293,0.14531032741069794,-0.43310490250587463,-0.11640232056379318,0.1554170697927475,-0.1938043087720871,-0.07115308940410614,-0.155824676156044,-0.42572903633117676,-0.15645724534988403,-0.18632636964321136,-0.17110362648963928,-0.10426867753267288,0.2017570585012436,0.024992095306515694,-0.1545718014240265,-0.2023705691099167,0.03728915750980377,-0.18020734190940857,0.11269176751375198,0.0033310772851109505,0.012667002156376839,-0.11288962513208389,-0.004083526786416769,-0.011030394583940506,0.10937561839818954,0.42832502722740173,-0.018182938918471336,-0.12164841592311859,0.4049373269081116,-0.01621241681277752,0.1371883749961853,0.8064568638801575,0.060351189225912094,-0.09386264532804489,0.7843902707099915,0.0712282657623291
9,0.01457267813384533,-0.6031056046485901,-0.33388569951057434,0.14521242678165436,-0.43313297629356384,-0.11245598644018173,0.1539250612258911,-0.19382554292678833,-0.06921759247779846,-0.15577490627765656,-0.4259631633758545,-0.15419097244739532,-0.18678869307041168,-0.17131492495536804,-0.10373646020889282,0.20032988488674164,0.024767423048615456,-0.1538572758436203,-0.20240488648414612,0.03714201599359512,-0.17952121794223785,0.11259714514017105,0.0032931652385741472,0.012726014479994774,-0.11279004067182541,-0.004045491106808186,-0.011087819002568722,0.10922745615243912,0.42827174067497253,-0.018189217895269394,-0.12043232470750809,0.40487799048423767,-0.016690410673618317,0.1367952823638916,0.8066139817237854,0.05904151499271393,-0.093796506524086,0.7842594981193542,0.07083157449960709
