FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,-0.0064970385283231735,-0.6329789757728577,-0.28504011034965515,0.12736457586288452,-0.5221577882766724,-0.13991570472717285,0.1477620005607605,-0.7401459813117981,-0.2269856184720993,-0.13124772906303406,-0.5135917663574219,-0.18462799489498138,-0.16877004504203796,-0.7216804623603821,-0.2690347731113434,0.1252511739730835,-0.9466766119003296,-0.29723989963531494,-0.15536664426326752,-0.9374178647994995,-0.315260112285614,0.10093938559293747,-0.00010465690866112709,0.006977177690714598,-0.1012720838189125,-0.0003300723619759083,-0.005652641877532005,0.08029918372631073,0.4092831611633301,0.015207935124635696,-0.08688516914844513,0.38431987166404724,0.013038557022809982,0.1090860664844513,0.7426038980484009,0.13704724609851837,-0.10356257855892181,0.7234196662902832,0.1436573714017868
1,-0.014061730355024338,-0.6253473162651062,-0.2879445552825928,0.12725305557250977,-0.5152396559715271,-0.15539507567882538,0.14929720759391785,-0.7295441627502441,-0.26124659180641174,-0.13177764415740967,-0.5126498341560364,-0.16605837643146515,-0.1714467853307724,-0.715719997882843,-0.24540235102176666,0.12611065804958344,-0.9464138746261597,-0.32944151759147644,-0.1588771939277649,-0.9372082352638245,-0.31363198161125183,0.10192135721445084,1.1362724762875587e-05,0.005205861758440733,-0.10217340290546417,-0.00046204953105188906,-0.003879738738760352,0.08054214715957642,0.409616082906723,0.010643864050507545,-0.08859742432832718,0.3838449716567993,0.01161834504455328,0.1097731962800026,0.7458499073982239,0.1370370090007782,-0.09771765768527985,0.722629189491272,0.14383074641227722
2,-0.015103884041309357,-0.6237902641296387,-0.27085980772972107,0.12908071279525757,-0.5147707462310791,-0.13566654920578003,0.15460607409477234,-0.7256647944450378,-0.24288170039653778,-0.13188108801841736,-0.5127009153366089,-0.14119477570056915,-0.1716015636920929,-0.7152190804481506,-0.22189512848854065,0.1277182549238205,-0.9463253617286682,-0.30720987915992737,-0.1548704206943512,-0.9400271773338318,-0.28414615988731384,0.10279058665037155,3.022109558514785e-05,0.005142970941960812,-0.10300160944461823,-0.0004921037470921874,-0.0038338415324687958,0.09136416018009186,0.4094356298446655,0.013105672784149647,-0.08597006648778915,0.3843911588191986,0.01130703929811716,0.11693060398101807,0.7474640011787415,0.13955573737621307,-0.08417679369449615,0.7244866490364075,0.14260967075824738
3,-0.01455512922257185,-0.6233570575714111,-0.26803913712501526,0.13256971538066864,-0.5145414471626282,-0.13225989043712616,0.16019004583358765,-0.7263316512107849,-0.23185372352600098,-0.1314927339553833,-0.5121736526489258,-0.13971208035945892,-0.17085455358028412,-0.7120475172996521,-0.22054575383663177,0.13914744555950165,-0.9508706331253052,-0.29173368215560913,-0.1513523906469345,-0.9429202675819397,-0.27772557735443115,0.10371934622526169,0.00012486665218602866,0.005158670246601105,-0.10390681773424149,-0.0006025457405485213,-0.0038581492844969034,0.09197279810905457,0.41185951232910156,0.014462913386523724,-0.08475406467914581,0.3868069350719452,0.009720302186906338,0.12467918545007706,0.7495458722114563,0.14799562096595764,-0.07496646791696548,0.7277544140815735,0.14266538619995117
4,-0.01603630743920803,-0.6235740184783936,-0.2674404978752136,0.13332705199718475,-0.5127341747283936,-0.13919612765312195,0.16230665147304535,-0.7252418994903564,-0.2430325150489807,-0.13163308799266815,-0.5127896070480347,-0.1282167285680771,-0.17167380452156067,-0.7134965062141418,-0.19490866363048553,0.14054539799690247,-0.9514309167861938,-0.30063802003860474,-0.1517893373966217,-0.9516260623931885,-0.2489321380853653,0.10441435873508453,0.00013788504293188453,0.0008544593583792448,-0.10456651449203491,-0.0006172823486849666,0.00032585556618869305,0.0944107249379158,0.4115951359272003,0.010426639579236507,-0.08436337858438492,0.38867253065109253,0.012400668114423752,0.13401857018470764,0.7497979402542114,0.1478913128376007,-0.06539031863212585,0.7302460670471191,0.15039902925491333
5,-0.015881331637501717,-0.6228046417236328,-0.27221664786338806,0.1338864415884018,-0.5112537145614624,-0.14075906574726105,0.16304048895835876,-0.7225457429885864,-0.2423459142446518,-0.13184000551700592,-0.5119665265083313,-0.13068926334381104,-0.17158351838588715,-0.7125393152236938,-0.1986003965139389,0.14286327362060547,-0.9508696794509888,-0.30128365755081177,-0.15054407715797424,-0.951273500919342,-0.25545093417167664,0.10503438115119934,0.00015575040015392005,0.0016764617757871747,-0.10518307983875275,-0.0006414524978026748,-0.0004920153296552598,0.09414990991353989,0.41198456287384033,0.014388302341103554,-0.08433257788419724,0.3886938989162445,0.008652760647237301,0.1327141970396042,0.7492395639419556,0.15684260427951813,-0.06791757047176361,0.7294734120368958,0.15004593133926392
6,-0.0158980842679739,-0.6223371028900146,-0.27902987599372864,0.13393276929855347,-0.5105932950973511,-0.14505405724048615,0.16381847858428955,-0.7227811813354492,-0.24414074420928955,-0.131854847073555,-0.510086715221405,-0.13973048329353333,-0.17205750942230225,-0.7122142910957336,-0.21488575637340546,0.1453046202659607,-0.9513538479804993,-0.3035169541835785,-0.15019604563713074,-0.9515588283538818,-0.27487713098526,0.10524632781744003,0.00014701580221299082,0.0019989602733403444,-0.10539788007736206,-0.0006374844815582037,-0.000820930756162852,0.09429383277893066,0.41231247782707214,0.016855383291840553,-0.08423349261283875,0.388965368270874,0.008732992224395275,0.13300299644470215,0.7492033243179321,0.16198693215847015,-0.06846625357866287,0.7287961840629578,0.15326623618602753
7,-0.016441702842712402,-0.6223723292350769,-0.28027573227882385,0.13339628279209137,-0.5104166865348816,-0.14572381973266602,0.16354545950889587,-0.7229334115982056,-0.2437804788351059,-0.13265210390090942,-0.509745717048645,-0.14229430258274078,-0.17299574613571167,-0.7111186385154724,-0.2170933187007904,0.14534088969230652,-0.9517411589622498,-0.30371713638305664,-0.15198375284671783,-0.9503485560417175,-0.2797579765319824,0.10537440329790115,0.00017003655375447124,0.0023017709609121084,-0.10552217066287994,-0.0006640792125836015,-0.001119513064622879,0.09419574588537216,0.41236355900764465,0.01741444319486618,-0.08426308631896973,0.3887251615524292,0.007306109648197889,0.13247577846050262,0.7491723895072937,0.1611582338809967,-0.0690440982580185,0.7278849482536316,0.1518009603023529
8,-0.01658882573246956,-0.6209855675697327,-0.28093430399894714,0.13356389105319977,-0.5094025731086731,-0.14567525684833527,0.1641150712966919,-0.7228187322616577,-0.24362316727638245,-0.1324443370103836,-0.5084308385848999,-0.1437622457742691,-0.1731705665588379,-0.7111011743545532,-0.2192821055650711,0.14549767971038818,-0.9521292448043823,-0.30273884534835815,-0.15089449286460876,-0.9502537846565247,-0.28126391768455505,0.10556140542030334,0.00011456204083515331,0.003274821676313877,-0.10571746528148651,-0.0006174512091092765,-0.0020837581250816584,0.09540760517120361,0.4123011827468872,0.01813104934990406,-0.08405239880084991,0.38845568895339966,0.006136788055300713,0.13204985857009888,0.7490456700325012,0.16088686883449554,-0.06887627393007278,0.7277485728263855,0.15038327872753143
9,-0.016573863103985786,-0.6203605532646179,-0.28668153285980225,0.13354969024658203,-0.5093753933906555,-0.1485113799571991,0.16406825184822083,-0.7228822708129883,-0.2461342066526413,-0.13245882093906403,-0.5080381035804749,-0.1523410677909851,-0.17319929599761963,-0.7068961262702942,-0.23880535364151,0.14556923508644104,-0.9515885710716248,-0.3081105351448059,-0.15093587338924408,-0.9437867403030396,-0.3108989894390106,0.10561298578977585,0.00019544325186870992,0.0036901498679071665,-0.10576556622982025,-0.0007051114225760102,-0.002494929824024439,0.09502673149108887,0.4121599495410919,0.018261002376675606,-0.08348603546619415,0.38783568143844604,0.005295340903103352,0.13026778399944305,0.7485746741294861,0.15904191136360168,-0.06920390576124191,0.7256011366844177,0.14773474633693695
