FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z,running_video
0,0.5061965584754944,0.2858479619026184,-0.210744708776474,0.5462952256202698,0.3330810666084289,-0.0808548927307128,0.5712504982948303,0.2639076709747314,-0.1302718669176101,0.4867995679378509,0.3370068669319153,-0.0812617093324661,0.465580940246582,0.2628819942474365,-0.1378206759691238,0.5770708322525024,0.1712953746318817,-0.1909866482019424,0.4651658236980438,0.1706193387508392,-0.1922937482595443,0.5349932909011841,0.5294864773750305,0.0002740385825745,0.4967486262321472,0.5319995284080505,-0.0002603550965432,0.5450154542922974,0.6636555194854736,0.02006028406322,0.4934830665588379,0.6708275079727173,0.0165512561798095,0.5485395193099976,0.8004786968231201,0.1321537345647812,0.4938403666019439,0.8018091917037964,0.1312927156686782,1
1,0.5068652033805847,0.2864227592945099,-0.2458792775869369,0.5461846590042114,0.3358384072780609,-0.1202665567398071,0.5713260769844055,0.2649255692958832,-0.1744032055139541,0.4868846535682678,0.3375335931777954,-0.1016079187393188,0.4657865464687347,0.2650820016860962,-0.1556196361780166,0.5770784616470337,0.1729772388935089,-0.2328588515520095,0.465216726064682,0.1708113849163055,-0.2295283675193786,0.5362377166748047,0.5296700596809387,-0.0006841514841653,0.4968636929988861,0.5323824286460876,0.0006694074836559,0.5451172590255737,0.6636737585067749,0.0200626496225595,0.4935427606105804,0.6705393195152283,0.0160887856036424,0.5486844182014465,0.8003923892974854,0.135964497923851,0.4944374859333038,0.801823079586029,0.1330639123916626,1
2,0.507054328918457,0.2865056991577148,-0.2398296892642974,0.5461865663528442,0.3374846577644348,-0.1171752959489822,0.5713905692100525,0.2668927609920501,-0.1655085980892181,0.4871403872966766,0.338515430688858,-0.1010531932115554,0.4668025970458984,0.2681211829185486,-0.1510951220989227,0.5771120190620422,0.1745967268943786,-0.2203388959169387,0.465252935886383,0.1713015139102935,-0.2159571796655655,0.5365532636642456,0.5303711295127869,-0.0007691990467719,0.4971596598625183,0.533028244972229,0.0007407821831293,0.5449709296226501,0.6646482348442078,0.0238487962633371,0.4939344823360443,0.6695393919944763,0.0209379866719245,0.5486875176429749,0.8001672029495239,0.1521699279546737,0.4950251579284668,0.8016717433929443,0.1491855978965759,1
3,0.5078567266464233,0.2865288853645324,-0.2650743424892425,0.5461938381195068,0.3382045328617096,-0.1352033764123916,0.5715696811676025,0.2676185369491577,-0.1843172907829284,0.4872874617576599,0.3388901650905609,-0.1224683225154876,0.4673837125301361,0.269360214471817,-0.1825286448001861,0.5771444439888,0.1745529025793075,-0.2414214462041854,0.4652546942234039,0.1715858578681945,-0.26373490691185,0.5370878577232361,0.5308942794799805,-0.0007615782087668,0.4974821805953979,0.53361976146698,0.0007332626264542,0.5449701547622681,0.6646647453308105,0.0303824432194232,0.4941315650939941,0.6694021224975586,0.0231010429561138,0.548540472984314,0.8001234531402588,0.1586404740810394,0.4956742525100708,0.8010717630386353,0.153372660279274,1
4,0.5078819394111633,0.2871911823749542,-0.2558651566505432,0.5463263392448425,0.3386335372924804,-0.1312472075223922,0.5716059803962708,0.2676537036895752,-0.1783927977085113,0.487291157245636,0.3401252627372741,-0.1139301136136055,0.4673749208450317,0.2702630758285522,-0.1706801056861877,0.5771721005439758,0.1747154593467712,-0.2315443903207779,0.4652754366397857,0.1717675030231475,-0.2417634427547454,0.5371357798576355,0.5318857431411743,-0.0021142160985618,0.49759441614151,0.5347750782966614,0.0020681323949247,0.5447447896003723,0.6650859117507935,0.0293180234730243,0.4943315684795379,0.6694157123565674,0.0276936534792184,0.5485275983810425,0.7999607920646667,0.1558574587106704,0.4962380230426788,0.801085889339447,0.1580599844455719,1
5,0.5082916617393494,0.2881713807582855,-0.275294691324234,0.5462818145751953,0.3393986821174621,-0.1464565247297287,0.5717220306396484,0.2677974104881286,-0.1976993680000305,0.4872786700725555,0.3405327796936035,-0.1331508755683899,0.4674247503280639,0.2706392109394073,-0.1945324540138244,0.5776040554046631,0.1745917350053787,-0.2548969984054565,0.4653970003128052,0.1722857654094696,-0.2728209197521209,0.5376089215278625,0.5332267880439758,-0.0012201480567455,0.4976700842380523,0.5352323651313782,0.0011482459958642,0.5447578430175781,0.6654861569404602,0.0358180031180381,0.4944015443325043,0.6694048643112183,0.0249225813895463,0.5482534170150757,0.7999783158302307,0.1615897566080093,0.4962877631187439,0.8010175228118896,0.1550397127866745,1
6,0.5081174969673157,0.288093239068985,-0.2593601942062378,0.5462642908096313,0.3397215008735657,-0.1388343274593353,0.5718048214912415,0.2682908773422241,-0.1870462149381637,0.4873816668987274,0.3403926491737366,-0.1110512018203735,0.4674920439720154,0.2705579400062561,-0.1582252979278564,0.5776074528694153,0.1749213486909866,-0.2436880767345428,0.4653976559638977,0.1720690578222274,-0.2226567417383194,0.5376015901565552,0.534321129322052,-0.0024564561899751,0.4977007508277893,0.5361361503601074,0.0023924298584461,0.5441073775291443,0.6658145785331726,0.0343361273407936,0.4945330023765564,0.6693670153617859,0.0245725139975547,0.5481382012367249,0.7988662123680115,0.1638539284467697,0.4963288009166717,0.8009788990020752,0.1574761122465133,1
7,0.5081189870834351,0.2882543802261352,-0.2634625732898712,0.5462795495986938,0.3397344350814819,-0.1377860158681869,0.5722377896308899,0.2684486806392669,-0.1868706345558166,0.4873962700366974,0.3404239118099212,-0.1212225034832954,0.4675119817256927,0.2708151042461395,-0.1779425144195556,0.5776343941688538,0.1743477433919906,-0.2417403757572174,0.4654055833816528,0.1722572743892669,-0.2536390125751495,0.5378008484840393,0.5343347787857056,-0.0017028243746608,0.4977937936782837,0.536196231842041,0.0016284630401059,0.5442987680435181,0.6658495664596558,0.0335591062903404,0.4945562779903412,0.669364869594574,0.0221476089209318,0.5480054616928101,0.7990527153015137,0.1617847084999084,0.4963385462760925,0.8008835315704346,0.1512203216552734,1
8,0.5080551505088806,0.287992388010025,-0.2619808614253998,0.5463256239891052,0.3398096263408661,-0.1358971297740936,0.5722151398658752,0.2690767645835876,-0.1849439889192581,0.4873972237110138,0.3404153883457184,-0.1203716248273849,0.4675161242485046,0.2709647119045257,-0.1751029640436172,0.5776386857032776,0.1752502173185348,-0.2402774393558502,0.4654039144515991,0.1722050756216049,-0.2446655482053756,0.5377969741821289,0.5352247953414917,-0.0013508463744074,0.4978013038635254,0.5368871688842773,0.0012754369527101,0.543982744216919,0.6663732528686523,0.0364949367940425,0.4946080446243286,0.6693865656852722,0.0221377797424793,0.5478387475013733,0.7990546822547913,0.1729748398065567,0.4964403510093689,0.8005306720733643,0.1589623242616653,1
9,0.5083889365196228,0.2879725992679596,-0.2627014517784118,0.5463212728500366,0.3398326635360718,-0.1347851306200027,0.5724570155143738,0.2692777216434479,-0.1846643984317779,0.4875053465366363,0.3404493331909179,-0.1221107617020607,0.4675278067588806,0.2713029086589813,-0.1841555386781692,0.5776423215866089,0.1741179078817367,-0.2398640215396881,0.4654459357261657,0.1725399196147918,-0.2629515826702118,0.5379351377487183,0.5352212190628052,-0.0009215519530698,0.4979107081890106,0.536888062953949,0.0008396715275011,0.5441844463348389,0.6664051413536072,0.035548347979784,0.4946542680263519,0.6694685816764832,0.0211376901715993,0.5478016138076782,0.7995303273200989,0.1645411700010299,0.4964434504508972,0.8005205988883972,0.1531178653240203,1
