FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z,running_video
0,0.4986378252506256,0.3042602837085724,-0.2770581543445587,0.5333658456802368,0.3556474447250366,-0.1416330337524414,0.5625989437103271,0.2967672049999237,-0.1968295574188232,0.4727274179458618,0.3551465272903442,-0.1427895873785019,0.4410539269447326,0.2960798442363739,-0.1826484501361847,0.572425127029419,0.2076061367988586,-0.2815958857536316,0.4217078983783722,0.2127688527107238,-0.2512568831443786,0.5209482312202454,0.5434831380844116,-0.0017210445366799,0.4813568890094757,0.5440967082977295,0.0016194715863093,0.5235857963562012,0.6675927042961121,0.0217535495758056,0.4783614873886108,0.6681367754936218,0.02565922960639,0.5315546989440918,0.7935637831687927,0.1386019587516784,0.4718644320964813,0.7920079231262207,0.1452882587909698,0
1,0.4988392889499664,0.3043666481971741,-0.2459191381931305,0.5325084328651428,0.3554892539978027,-0.0976817831397056,0.5620155334472656,0.2959509193897247,-0.1309360563755035,0.4727297127246856,0.3548763394355774,-0.1155149713158607,0.4413464963436126,0.295865535736084,-0.1777790188789367,0.5724297761917114,0.2078425586223602,-0.2032378017902374,0.4216638207435608,0.2128219753503799,-0.2681437730789184,0.5209776163101196,0.542792022228241,0.0072552738711237,0.4814663231372833,0.5432901978492737,-0.0073229237459599,0.5242854356765747,0.6678978800773621,0.0455453470349311,0.4783612787723541,0.668136715888977,0.0047592120245099,0.5315368175506592,0.7926221489906311,0.1591121405363083,0.472017228603363,0.7928755879402161,0.1240436062216758,0
2,0.4990821182727813,0.3062611222267151,-0.2518821656703949,0.5319387316703796,0.3548796772956848,-0.1104401275515556,0.5608196258544922,0.2967047095298767,-0.1467390954494476,0.4727680087089538,0.3539527356624603,-0.1185221299529075,0.4419326782226562,0.2955795228481293,-0.1782094687223434,0.5727205276489258,0.2090577781200409,-0.215875819325447,0.4214833378791809,0.2129988372325897,-0.2793784141540527,0.5207713842391968,0.5382229685783386,0.0069763609208166,0.4814815521240234,0.5400060415267944,-0.0070376168005168,0.5244826078414917,0.6679003834724426,0.0434347167611122,0.478152722120285,0.6680344939231873,0.0093753095716238,0.531190037727356,0.7904755473136902,0.1574757844209671,0.4720686972141266,0.7945279479026794,0.1251684576272964,0
3,0.4993419349193573,0.3067470788955688,-0.2227706611156463,0.531579315662384,0.3537239134311676,-0.0855742171406745,0.560474157333374,0.2967261373996734,-0.1091710776090622,0.4727689921855926,0.3535202145576477,-0.0883418321609497,0.4424484372138977,0.2955693900585174,-0.1213117390871048,0.5734928250312805,0.2092171311378479,-0.1718205660581588,0.4212829172611236,0.2129259258508682,-0.19624824821949,0.520733654499054,0.5366082191467285,0.0060695465654134,0.4815143644809723,0.5387403964996338,-0.0061306608840823,0.52458655834198,0.6669912338256836,0.0394486337900161,0.4781363308429718,0.6674914360046387,0.0099512385204434,0.5311335921287537,0.7901136875152588,0.1559439748525619,0.4721210300922394,0.7951463460922241,0.121057353913784,0
4,0.4995878040790558,0.3068450391292572,-0.2188993841409683,0.5311117768287659,0.3536466062068939,-0.0796242281794548,0.5601348876953125,0.2967840135097503,-0.1036029234528541,0.4727748334407806,0.3531987071037292,-0.0860618278384208,0.4426183998584747,0.2947066128253937,-0.1226964071393013,0.5735956430435181,0.2093763351440429,-0.1666919738054275,0.4211474657058716,0.2125099897384643,-0.1990987211465835,0.5204287767410278,0.5366695523262024,0.0061666979454457,0.4815163314342499,0.5387303829193115,-0.006209013517946,0.5247270464897156,0.6670024991035461,0.04202426597476,0.4780963957309723,0.6677043437957764,0.011138011701405,0.5311508774757385,0.7901061773300171,0.1546600013971328,0.4722136557102203,0.7953477501869202,0.1237550154328346,0
5,0.4996442198753357,0.3068342208862304,-0.2218352705240249,0.5311019420623779,0.353444904088974,-0.0878402963280677,0.5601437091827393,0.2967854142189026,-0.1156001612544059,0.4728902280330658,0.3531953990459442,-0.0880976617336273,0.4429909586906433,0.2947301566600799,-0.1197789832949638,0.5738040804862976,0.2093228697776794,-0.1785191893577575,0.4210270941257477,0.2125505059957504,-0.1915925443172454,0.5204600691795349,0.5362194776535034,0.0057811737060546,0.4815937876701355,0.538096010684967,-0.0058038961142301,0.5247307419776917,0.666786789894104,0.041055005043745,0.478113979101181,0.667697012424469,0.0123962201178073,0.5311007499694824,0.790084958076477,0.1540249735116958,0.4725399613380432,0.7962651252746582,0.1249164715409278,0
6,0.4997407495975494,0.3054779469966888,-0.2143994718790054,0.5311031341552734,0.3527852296829223,-0.0772135257720947,0.5601528286933899,0.296828418970108,-0.1004927083849906,0.4728934168815613,0.352395236492157,-0.0831563770771026,0.4429429769515991,0.2941425442695617,-0.1182493343949318,0.5740773677825928,0.2093325853347778,-0.161637008190155,0.4207881093025207,0.2121245414018631,-0.1921930909156799,0.5203049182891846,0.5362663269042969,0.0061876322142779,0.4816004037857055,0.5379350781440735,-0.006211404222995,0.5249873995780945,0.6667953729629517,0.0430798344314098,0.4780990183353424,0.6678009629249573,0.0117722330614924,0.5310169458389282,0.7897214889526367,0.1531344503164291,0.4725440144538879,0.7962818741798401,0.1207650378346443,0
7,0.4997576177120209,0.3050369024276733,-0.2176652997732162,0.5311024785041809,0.3522319793701172,-0.0819141045212745,0.5601555109024048,0.2968407273292541,-0.1065258607268333,0.4729015231132507,0.3522441983222961,-0.0844167992472648,0.4429344832897186,0.293926864862442,-0.1146181002259254,0.5745428800582886,0.2093335390090942,-0.1694098114967346,0.4206118583679199,0.2121360749006271,-0.1859804838895797,0.5203744173049927,0.5357067584991455,0.00611153524369,0.4817042946815491,0.5374881029129028,-0.0061298171058297,0.5249848961830139,0.6659957766532898,0.0436714850366115,0.4781746566295624,0.6675575375556946,0.0125762829557061,0.5309848189353943,0.7891753911972046,0.1530185639858245,0.472719669342041,0.7969986796379089,0.1215045452117919,0
8,0.4998100996017456,0.3047345876693725,-0.2242312282323837,0.5310758352279663,0.3522280156612396,-0.0866428539156913,0.5601561069488525,0.2968443036079407,-0.1120215430855751,0.4728989005088806,0.3521921038627624,-0.0873007029294967,0.4429160952568054,0.2938679754734039,-0.1331442445516586,0.5746181011199951,0.2093341648578643,-0.1701465994119644,0.4202896356582641,0.2120733857154846,-0.2216620147228241,0.5203710198402405,0.5357285141944885,0.0060099484398961,0.481738269329071,0.5374691486358643,-0.00603160681203,0.5250596404075623,0.6660130023956299,0.0430478379130363,0.4781777262687683,0.6675507426261902,0.0127269709482789,0.5310091972351074,0.7894710898399353,0.1528296321630478,0.4727397859096527,0.796301007270813,0.1239140331745147,0
9,0.4999138414859772,0.3044526576995849,-0.2318815737962722,0.5310669541358948,0.3522782921791076,-0.092736579477787,0.5600752234458923,0.2968487441539764,-0.1177254691720008,0.4729620218276977,0.352212131023407,-0.0993510112166404,0.4431172311306,0.2938613593578338,-0.1422121524810791,0.5749150514602661,0.2093213945627212,-0.177753284573555,0.4201434552669525,0.2119890004396438,-0.2270515114068985,0.5202710628509521,0.5357784032821655,0.0068834158591926,0.4817449152469635,0.5374931693077087,-0.0069229998625814,0.5250731110572815,0.666273295879364,0.04954694211483,0.4781764447689056,0.6678675413131714,0.0127186933532357,0.5309947729110718,0.7893341183662415,0.1578308194875717,0.4725224673748016,0.7966051697731018,0.1239432096481323,0
